                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202005040930  117  7     0      1      4     31     78     74    147    285    246
202005041000  117  4     0      1      3     19     57     85    158    260    270
202005041030  124  4     1      2      3     24     70     82    165    273    336
202005041100  125  4     0      1      3     26    116     76    187    260    301
202005041130  131  7     0      1      3     27     92    126    196    356    281
202005041200  130  7     0      1      3     15    117     67    208    358    295
202005041230  129  4     1      1      2     18     85     97    199    327    335
202005041300  119  4     1      1      3     24     55     79    188    259    279
202005041330  129  7     0      1      2     17     74     86    222    345    297
202005041400  138  7     0      1      2     20     84     95    232    422    343
202005041430  123  4     0      1      4     19     57     92    222    269    292
202005041500  142  7     1      1      3     16     98     88    323    389    357
202005041530  131  7     0      1      2     19     76    111    234    322    314
202005041600  128  7     0      1      3     16     62     95    217    360    276
202005041630  140  7     0      2      3     13     88    171    240    400    315
202005041700  140  7     1      2      1     16     74     97    327    395    331
202005041730  127  7     0      2      3     12     60     86    217    343    296
202005041800  129  7     0      1      2     12     63    108    271    314    282
202005041830  119  4     0      1      2     17     68     96    169    255    284
202005041900  128  4     0      2      2     20     53    117    216    314    319
202005041930  122  7     0      1      1      8     42     98    185    313    291
202005042000  115  4     0      1      2      8     45     96    183    247    261
202005042030  108  4     0      2      2     17     46    103    158    160    254
202005042100  109  4     0      1      2     17     54    114    159    167    236
202005042130  112  4     0      1      2     11     59    103    188    206    222
202005042200  110  4     0      2      2     13     54    129    132    188    255
202005042230  110  4     0      1      3     11     47    148    141    166    250
202005042300  112  4     0      2      2     17     56    113    163    192    246
202005042330  102  4     0      2      2     16     38    167    131    106    204
202005050000  109  4     0      1      2      7     39    191    144    130    242
202005050030   99  4     0      1      1      9     27     95    134    126    220
202005050100  102  4     0      2      2     11     28    136    185    104    206
202005050130   93  4     0      1      1     11     48     80    119    102    193
202005050200  100  4     0      2      1     11     43    122    147    116    204
202005050230   93  4     0      2      1      5     45     93    144     75    193
202005050300   98  4     0      2      1     11     36    105    154    102    193
202005050330   99  4     0      2      1     11     39    129    162    106    171
202005050400  104  4     1      1      1     16     47    116    158    132    208
202005050430   98  4     0      2      2      8     48     81    110    153    210
202005050500  103  4     0      1      1     12     32    110    129    179    210
