                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007051630  102 17     3     23    164    164     75     19     28     61    110
202007051700  115 15     2     12    256    268     81     20     22     52    112
202007051730  110 15     3     34    118    320     70     14     26     62     99
202007051800  113 15     3     21    200    264    112     15     24     51    101
202007051830  120 15     2     17    226    329     97     15     30     81     95
202007051900  132 15     3     21    320    427    121     16     26     45     99
202007051930  112 15     2     20    148    338     88     24     23     42     92
202007052000  102 15     2     18    132    249     70     15     35     35     84
202007052030  119 15     3     14    206    328    117     21     46     46     84
202007052100  105 17     2     11    172    160    118     17     47     43    105
202007052130  123 15     3     17    213    300    109     18     73     70    124
202007052200  127 15     2     13    194    388     83     20     54    115    121
202007052230  120 15     1      7    112    349     61     17     85    145    119
202007052300  132 15     2     15    172    404    111     14     96    136    120
202007052330  114 15     2     11    170    222     93     19     55    102    123
202007060000  122 15     2     10     97    302    116     24     96    163    121
202007060030  133 15     2     15    130    503    131     22     70    102    116
202007060100  113 15     5     17    110    205     98     25     69    136    122
202007060130  126 15     2     10    112    429    113     17     70    125    117
202007060200  130 15     1     10    114    431    114     19    123    137    108
202007060230  129 15     3     16    118    365    126     24    121    153    107
202007060300  132 15     2     14    101    386     92     22    162    170    135
202007060330  140 15     2     16    128    499     95     35    147    165    129
202007060400  135 15     2     10    106    452    156     19    115    142    136
202007060430  112 15     3     13     68    183     92     33     83    165    140
202007060500  119 15     2      7     90    329    123     19     56    124    137
202007060530  109 15     2     16     72    254     65     16     61    111    150
202007060600  115 15     2     16     66    288    134     20     47    107    142
202007060630  112 15     2      9     73    296    111     15     54     85    143
202007060700  116 15     2      6     70    346    104     18     57    111    131
202007060730  103 15     1     12     92    198     95     18     44     84    124
202007060800  107 15     1      4     34    289    104     21     52     75    141
202007060830   98 15     1      7     45    200     55     15     79     85    122
202007060900  108 15     1      6     50    223    128     17     80     87    138
202007060930  102 15     2      7     51    198     85     15     98     79    122
202007061000  114 15     2      5     33    352     96     24     72     95    126
202007061030  108 15     2      8     46    244    111     16     69     99    129
202007061100  111 15     2      7     41    277    152     18     65    102    106
202007061130   89  4     1      5     31     83     85     34     59     85    114
202007061200   90 15     1      5     33    126     90     24     52     72    107
202007061230   88  4     1      7     39     80     69     18     87     85    103
202007061300  114 15     2      6     15    359    121     33    111     73     93
202007061330  106 15     1      3     37    227    111     32     94    103     90
202007061400  102 15     1      5     58    178     97     24     97    102     92
202007061430   99 15     1      9     39    201     85     17     82     93     86
202007061500   94 15     1      8     19    182     71     21     75     80     92
202007061530  110 15     1      6     30    300    117     24     69    101    109
202007061600  119 15     1      7     30    324    237     32     51     80    127
202007061630  113 15     1      6     34    313    162     37     47     77    126
202007061700  106 15     1      3     12    260     89     32     87     83    132
202007061730  110 15     1      9     31    278    110     35     90     70    128
202007061800  107 15     1      6     32    229    128     37    106     71    110
202007061830   96 15     1      6     21    152    108     45     61     62    125
202007061900   98 15     1      5     13    154    144     33     85     62    110
202007061930  102 15     1      5     16    143    101     59    129     89    114
202007062000  106  9     1      8     17    133    100     52    203     88    103
202007062030  108 15     1      6     28    162     87     61    148    108    127
202007062100  124  9     1      9     12    216    160    102    257    124    106
202007062130  127 15     2     10     19    339     92    120    229    104    105
202007062200  119  9     1      9     18    145    138     95    259    128    110
202007062230  115 15     1      5      9    216    137    104    172    100    106
202007062300  113  9     1      7     12    119    122     65    217    150    116
202007062330  116  9     1      6      8    182    104     73    215    165    106
202007070000  112  7     1      7     14    137     85     69    161    203    109
202007070030  113  9     1     10     11    151     99     84    193    163     96
202007070100  126  9     0      7     10    150    115    104    279    226    111
202007070130  129  9     1      8     21    154    127     99    327    229    100
202007070200  124  7     1     10     20    150    129     82    228    249    113
202007070230  118 15     0      4     16    209    125     61    190    193     90
202007070300  116  7     1      4     13    148    135     69    169    224     99
202007070330  109  9     1      4     11    104     75     71    196    192     94
202007070400   99  7     1      3      8     89    120     52    104    152     87
202007070430  106 15     1      8     16    177     84     94    105    123    101
202007070500  102  7     1      7     13     53     87     67    166    183     87
202007070530  108  9     1      4      9    133    148     86    154    131     98
202007070600  113  7     1      6     15    135    158     68    153    165    107
202007070630  102  7     1      5     13    122     61     81    142    153     87
202007070700  116  9     1      3     14    154    126     90    214    149    110
202007070730  116  9     1      9     17     76     98    100    284    171     96
