                                                ENERGY (CM^2)
     UTC      Hs  Tp                 BAND PERIOD LIMITS (SECS)
YYYYMMDDHHMM (CM) (SEC) 22+ 22-18  18-16  16-14  14-12  12-10   10-8    8-6    6-2
202007041130  155 20    18    556    545     74     53     46     35     38    140
202007041200  154 17    19    511    535     97     65     44     43     31    143
202007041230  155 17    23    515    573    103     59     27     41     33    120
202007041300  180 17    24    698    897     97     49     42     45     36    132
202007041330  208 17    31    927   1324    112     59     26     60     38    125
202007041400  176 17    16    587    973     84     45     33     33     36    114
202007041430  164 17    18    447    721    186     68     39     43     41    116
202007041500  139 17     8    315    542     73     44     43     43     34    114
202007041530  221 17    25   1124   1477    120     52     30     49     41    126
202007041600  162 17    22    467    772     95     75     33     42     31    112
202007041630  166 17    21    454    792    175     50     36     44     35    118
202007041700  138 17    14    314    479    102     60     32     39     32    115
202007041730  147 17    12    324    621    115     47     28     39     35    118
202007041800  170 17    17    601    695    204     55     37     33     30    120
202007041830  162 17    20    327    779    203     57     30     35     40    137
202007041900  197 17    27    532   1352    171     82     28     42     34    136
202007041930  186 17    25    600    981    247     80     34     28     26    140
202007042000  164 17    11    311    915    152     71     31     29     27    120
202007042030  143 17    14    264    467    258     50     21     33     40    130
202007042100  149 17    19    320    518    270     48     30     33     29    121
202007042130  167 17     9    353    844    246     59     26     33     27    121
202007042200  145 17     7    253    539    228     62     30     38     35    123
202007042230  160 17    10    387    741    186     55     25     40     25    131
202007042300  184 17    10    204   1325    293     42     23     32     31    129
202007042330  142 17    11    166    687    117     42     24     32     35    138
202007050000  186 17    14    249   1355    226     65     25     46     34    140
202007050030  143 17    11    144    618    224     44     25     36     32    136
202007050100  166 17    10    175    947    275     78     26     25     26    140
202007050130  155 17    12    266    702    203     55     30     36     32    161
202007050200  132 17     6     99    383    274     73     28     47     35    146
202007050230  183 17     9    182    885    662     73     29     45     25    178
202007050300  193 17    18    175   1110    635     60     26     56     42    185
202007050330  155 17     7    158    505    439     43     28     53     48    217
202007050400  145 15     6     63    400    442     61     28     43     43    228
202007050430  169 17    14    173    772    398     88     31     46     60    202
202007050500  147 17     7    134    545    277     64     26     41     50    208
202007050530  158 17    11     99    811    288     82     21     38     35    167
202007050600  174 17     6    179    850    461     75     25     38     54    191
202007050630  151 17     5     98    535    388     73     23     40     46    208
202007050700  154 17     9    103    534    470     71     25     31     38    201
202007050730  150 17     5    171    537    336     65     25     34     48    177
202007050800  180 17    13    194    951    457    128     20     38     30    191
202007050830  157 17     6     85    599    492    102     20     29     29    168
202007050900  139 15     4     69    295    492     86     27     27     32    163
202007050930  146 17    10     80    547    331     97     24     28     37    160
202007051000  145 17     7     80    579    320     85     19     27     37    161
202007051030  135 15     7     86    280    445     70     26     27     44    142
202007051100  120 17     3     24    306    266     61     22     34     41    140
202007051130  141 15     3     27    299    604    101     19     35     31    122
202007051200  157 17     9     62    688    479    115     21     24     33    112
202007051230  152 15     8     63    422    628     98     18     36     42    115
202007051300  141 17     8     56    503    393     99     22     30     35     95
202007051330  147 15     6     47    422    561    100     26     27     37    121
202007051400  135 15     6     41    342    421    105     23     33     61    100
202007051430  137 15     3     17    372    458    101     22     42     66     92
202007051500  139 15     3     18    338    568     73     20     33     48    103
202007051530  149 17     9     36    539    425    126     22     47     63    114
202007051600  129 15     5     31    275    394     91     21     36     83    105
202007051630  130 17     3     21    352    334     75     20     40     93    112
202007051700  142 15     5     46    295    543     94     25     45     97    102
202007051730  101 17     2     20    138    114     88     16     37    100    115
202007051800  133 17     5     26    366    342     96     15     41     87    116
202007051830  137 15     3     22    301    473    137     19     28     77    104
202007051900  128 15     2     17    178    491     87     21     39     81     95
202007051930  122 15     3     28    218    351     90     19     42     79     96
202007052000  113 15     1     20    225    248     60     14     34     78    118
202007052030  133 17     6     34    379    287    158     17     30     80    103
202007052100  142 15     3     16    208    635    130     12     44     85    121
202007052130  134 15     3     28    220    478    110     16     27     74    152
202007052200  148 15     2     15    366    589    117     20     26     67    154
202007052230  121 15     3     18    178    342     88     17     31     59    161
202007052300  129 15     2     13    113    516    135     13     27     59    157
202007052330  119 15     2     17    128    371    121     17     21     62    134
202007060000  114 15     1     10    140    300    137     15     21     51    134
202007060030  104 15     1     12    141    224     93     13     22     41    120
202007060100  116 15     3     19    231    276    105     15     25     42    112
202007060130  113 15     1     16     89    386    129     11     21     36    104
202007060200  111 15     2     14     85    347    133     16     25     49     94
202007060230  122 15     2     20     59    461    163     21     49     57    100
202007060300  107 15     1     12     66    334     87     15     40     60    103
202007060330  108 15     2     11    113    286     92     17     56     57     95
202007060400  110 15     1      9     94    346    114     13     44     50     84
202007060430  100 15     1      6     86    241     78     12     61     47     93
202007060500  112 15     1      9     84    349    121     16     64     53     88
202007060530  102 15     1      8     84    296     68     18     35     44     93
202007060600  106 15     2     10    131    247    110     18     43     53     86
202007060630   96 15     1     10     54    224     81     18     37     55     94
202007060700   94 15     2      9     56    201     72     20     57     50     81
